,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
51,1748-02-01,,,Århus,Denmark,57.05N,10.33E
52,1748-03-01,,,Århus,Denmark,57.05N,10.33E
53,1748-04-01,,,Århus,Denmark,57.05N,10.33E
54,1748-05-01,,,Århus,Denmark,57.05N,10.33E
55,1748-06-01,,,Århus,Denmark,57.05N,10.33E
56,1748-07-01,,,Århus,Denmark,57.05N,10.33E
57,1748-08-01,,,Århus,Denmark,57.05N,10.33E
58,1748-09-01,,,Århus,Denmark,57.05N,10.33E
59,1748-10-01,,,Århus,Denmark,57.05N,10.33E
60,1748-11-01,,,Århus,Denmark,57.05N,10.33E
61,1748-12-01,,,Århus,Denmark,57.05N,10.33E
62,1749-01-01,,,Århus,Denmark,57.05N,10.33E
63,1749-02-01,,,Århus,Denmark,57.05N,10.33E
64,1749-03-01,,,Århus,Denmark,57.05N,10.33E
65,1749-04-01,,,Århus,Denmark,57.05N,10.33E
66,1749-05-01,,,Århus,Denmark,57.05N,10.33E
67,1749-06-01,,,Århus,Denmark,57.05N,10.33E
68,1749-07-01,,,Århus,Denmark,57.05N,10.33E
69,1749-08-01,,,Århus,Denmark,57.05N,10.33E
70,1749-09-01,,,Århus,Denmark,57.05N,10.33E
71,1749-10-01,,,Århus,Denmark,57.05N,10.33E
72,1749-11-01,,,Århus,Denmark,57.05N,10.33E
73,1749-12-01,,,Århus,Denmark,57.05N,10.33E
74,1750-01-01,1.699,1.013,Århus,Denmark,57.05N,10.33E
75,1750-02-01,3.961,2.361,Århus,Denmark,57.05N,10.33E
76,1750-03-01,5.182,3.48,Århus,Denmark,57.05N,10.33E
77,1750-04-01,7.197,0.732,Århus,Denmark,57.05N,10.33E
78,1750-05-01,10.634,1.351,Århus,Denmark,57.05N,10.33E
79,1750-06-01,14.913,1.181,Århus,Denmark,57.05N,10.33E
80,1750-07-01,17.831,1.22,Århus,Denmark,57.05N,10.33E
81,1750-08-01,16.848,0.736,Århus,Denmark,57.05N,10.33E
82,1750-09-01,13.143,1.021,Århus,Denmark,57.05N,10.33E
83,1750-10-01,5.251,1.258,Århus,Denmark,57.05N,10.33E
84,1750-11-01,,,Århus,Denmark,57.05N,10.33E
85,1750-12-01,-0.6779999999999999,1.808,Århus,Denmark,57.05N,10.33E
86,1751-01-01,-0.623,1.7,Århus,Denmark,57.05N,10.33E
87,1751-02-01,-3.764,2.329,Århus,Denmark,57.05N,10.33E
88,1751-03-01,3.7,1.672,Århus,Denmark,57.05N,10.33E
89,1751-04-01,5.267,0.85,Århus,Denmark,57.05N,10.33E
90,1751-05-01,,,Århus,Denmark,57.05N,10.33E
91,1751-06-01,14.429,1.579,Århus,Denmark,57.05N,10.33E
92,1751-07-01,16.637999999999998,0.89,Århus,Denmark,57.05N,10.33E
93,1751-08-01,16.547,0.728,Århus,Denmark,57.05N,10.33E
94,1751-09-01,12.177,0.5820000000000001,Århus,Denmark,57.05N,10.33E
95,1751-10-01,,,Århus,Denmark,57.05N,10.33E
96,1751-11-01,,,Århus,Denmark,57.05N,10.33E
97,1751-12-01,,,Århus,Denmark,57.05N,10.33E
98,1752-01-01,-0.7809999999999999,2.622,Århus,Denmark,57.05N,10.33E
99,1752-02-01,,,Århus,Denmark,57.05N,10.33E
100,1752-03-01,3.05,1.695,Århus,Denmark,57.05N,10.33E
101,1752-04-01,5.489,2.51,Århus,Denmark,57.05N,10.33E
102,1752-05-01,,,Århus,Denmark,57.05N,10.33E
103,1752-06-01,,,Århus,Denmark,57.05N,10.33E
104,1752-07-01,,,Århus,Denmark,57.05N,10.33E
105,1752-08-01,,,Århus,Denmark,57.05N,10.33E
106,1752-09-01,,,Århus,Denmark,57.05N,10.33E
107,1752-10-01,8.908,1.709,Århus,Denmark,57.05N,10.33E
108,1752-11-01,5.6370000000000005,0.921,Århus,Denmark,57.05N,10.33E
109,1752-12-01,2.242,1.175,Århus,Denmark,57.05N,10.33E
110,1753-01-01,-1.2590000000000001,8.151,Århus,Denmark,57.05N,10.33E
111,1753-02-01,-0.285,3.715,Århus,Denmark,57.05N,10.33E
112,1753-03-01,4.21,3.695,Århus,Denmark,57.05N,10.33E
113,1753-04-01,6.765,6.727,Århus,Denmark,57.05N,10.33E
114,1753-05-01,10.65,2.3080000000000003,Århus,Denmark,57.05N,10.33E
115,1753-06-01,14.444,3.891,Århus,Denmark,57.05N,10.33E
116,1753-07-01,16.293000000000006,2.619,Århus,Denmark,57.05N,10.33E
117,1753-08-01,15.807999999999998,8.671,Århus,Denmark,57.05N,10.33E
118,1753-09-01,13.226,1.602,Århus,Denmark,57.05N,10.33E
119,1753-10-01,9.529,2.69,Århus,Denmark,57.05N,10.33E
120,1753-11-01,2.8710000000000004,3.616,Århus,Denmark,57.05N,10.33E
121,1753-12-01,-3.228,5.421,Århus,Denmark,57.05N,10.33E
122,1754-01-01,-0.5660000000000001,2.065,Århus,Denmark,57.05N,10.33E
123,1754-02-01,-0.943,4.59,Århus,Denmark,57.05N,10.33E
124,1754-03-01,-0.645,4.091,Århus,Denmark,57.05N,10.33E
125,1754-04-01,5.6579999999999995,8.046,Århus,Denmark,57.05N,10.33E
126,1754-05-01,12.265999999999998,3.395,Århus,Denmark,57.05N,10.33E
127,1754-06-01,14.835,1.596,Århus,Denmark,57.05N,10.33E
128,1754-07-01,15.04,3.327,Århus,Denmark,57.05N,10.33E
129,1754-08-01,15.537,5.8679999999999986,Århus,Denmark,57.05N,10.33E
130,1754-09-01,12.023,4.118,Århus,Denmark,57.05N,10.33E
131,1754-10-01,9.129,1.831,Århus,Denmark,57.05N,10.33E
132,1754-11-01,4.141,2.133,Århus,Denmark,57.05N,10.33E
133,1754-12-01,1.45,2.8480000000000003,Århus,Denmark,57.05N,10.33E
134,1755-01-01,-3.4360000000000004,5.961,Århus,Denmark,57.05N,10.33E
135,1755-02-01,-4.277,4.258,Århus,Denmark,57.05N,10.33E
136,1755-03-01,0.3559999999999999,5.25,Århus,Denmark,57.05N,10.33E
137,1755-04-01,7.5909999999999975,5.079,Århus,Denmark,57.05N,10.33E
138,1755-05-01,10.978,2.551,Århus,Denmark,57.05N,10.33E
139,1755-06-01,16.671,3.943,Århus,Denmark,57.05N,10.33E
140,1755-07-01,17.572000000000006,2.255,Århus,Denmark,57.05N,10.33E
141,1755-08-01,14.832999999999998,3.26,Århus,Denmark,57.05N,10.33E
142,1755-09-01,11.725,1.047,Århus,Denmark,57.05N,10.33E
143,1755-10-01,8.033,7.966,Århus,Denmark,57.05N,10.33E
144,1755-11-01,3.284,8.889,Århus,Denmark,57.05N,10.33E
145,1755-12-01,1.664,8.234,Århus,Denmark,57.05N,10.33E
146,1756-01-01,2.011,6.563,Århus,Denmark,57.05N,10.33E
147,1756-02-01,2.887,4.599,Århus,Denmark,57.05N,10.33E
148,1756-03-01,2.684,7.896,Århus,Denmark,57.05N,10.33E
149,1756-04-01,4.208,2.869,Århus,Denmark,57.05N,10.33E
150,1756-05-01,9.351,5.898,Århus,Denmark,57.05N,10.33E
151,1756-06-01,16.632,3.577,Århus,Denmark,57.05N,10.33E
152,1756-07-01,18.103,2.502,Århus,Denmark,57.05N,10.33E
153,1756-08-01,15.018999999999998,10.591,Århus,Denmark,57.05N,10.33E
154,1756-09-01,13.473,3.869,Århus,Denmark,57.05N,10.33E
155,1756-10-01,8.355,4.119,Århus,Denmark,57.05N,10.33E
156,1756-11-01,1.251,5.456,Århus,Denmark,57.05N,10.33E
157,1756-12-01,-0.6520000000000001,2.805,Århus,Denmark,57.05N,10.33E
158,1757-01-01,-2.4419999999999997,3.497,Århus,Denmark,57.05N,10.33E
159,1757-02-01,0.8570000000000001,4.937,Århus,Denmark,57.05N,10.33E
160,1757-03-01,1.7269999999999999,4.2010000000000005,Århus,Denmark,57.05N,10.33E
161,1757-04-01,7.756,7.117000000000001,Århus,Denmark,57.05N,10.33E
162,1757-05-01,10.081,4.089,Århus,Denmark,57.05N,10.33E
163,1757-06-01,16.435000000000002,4.667,Århus,Denmark,57.05N,10.33E
164,1757-07-01,20.179000000000002,7.5539999999999985,Århus,Denmark,57.05N,10.33E
165,1757-08-01,16.895999999999994,5.377000000000002,Århus,Denmark,57.05N,10.33E
166,1757-09-01,12.893,9.281,Århus,Denmark,57.05N,10.33E
167,1757-10-01,4.851,12.809,Århus,Denmark,57.05N,10.33E
168,1757-11-01,5.122999999999998,6.157,Århus,Denmark,57.05N,10.33E
169,1757-12-01,0.325,11.445,Århus,Denmark,57.05N,10.33E
170,1758-01-01,-3.154,1.744,Århus,Denmark,57.05N,10.33E
171,1758-02-01,-1.142,3.545,Århus,Denmark,57.05N,10.33E
172,1758-03-01,1.188,4.982,Århus,Denmark,57.05N,10.33E
173,1758-04-01,4.074999999999998,9.029,Århus,Denmark,57.05N,10.33E
174,1758-05-01,12.793,6.694,Århus,Denmark,57.05N,10.33E
175,1758-06-01,15.525,5.937,Århus,Denmark,57.05N,10.33E
176,1758-07-01,15.706,9.589,Århus,Denmark,57.05N,10.33E
177,1758-08-01,16.438,7.794,Århus,Denmark,57.05N,10.33E
178,1758-09-01,11.267,3.687,Århus,Denmark,57.05N,10.33E
179,1758-10-01,6.045,13.217,Århus,Denmark,57.05N,10.33E
180,1758-11-01,4.106,10.942,Århus,Denmark,57.05N,10.33E
181,1758-12-01,0.121,6.573,Århus,Denmark,57.05N,10.33E
182,1759-01-01,2.6710000000000003,7.513,Århus,Denmark,57.05N,10.33E
183,1759-02-01,3.162,9.225,Århus,Denmark,57.05N,10.33E
184,1759-03-01,3.402,3.972,Århus,Denmark,57.05N,10.33E
185,1759-04-01,6.065,6.655,Århus,Denmark,57.05N,10.33E
186,1759-05-01,9.503,3.857,Århus,Denmark,57.05N,10.33E
187,1759-06-01,16.363,6.9110000000000005,Århus,Denmark,57.05N,10.33E
188,1759-07-01,18.645000000000003,5.303,Århus,Denmark,57.05N,10.33E
189,1759-08-01,17.195999999999998,8.176,Århus,Denmark,57.05N,10.33E
190,1759-09-01,12.299,7.154,Århus,Denmark,57.05N,10.33E
191,1759-10-01,8.314,5.691,Århus,Denmark,57.05N,10.33E
192,1759-11-01,1.885,7.407,Århus,Denmark,57.05N,10.33E
193,1759-12-01,-2.6580000000000004,11.807,Århus,Denmark,57.05N,10.33E
194,1760-01-01,-4.787,5.421,Århus,Denmark,57.05N,10.33E
195,1760-02-01,-0.386,3.901,Århus,Denmark,57.05N,10.33E
196,1760-03-01,0.8690000000000001,10.897,Århus,Denmark,57.05N,10.33E
197,1760-04-01,5.651,7.83,Århus,Denmark,57.05N,10.33E
198,1760-05-01,11.112,4.918,Århus,Denmark,57.05N,10.33E
199,1760-06-01,16.334,3.109,Århus,Denmark,57.05N,10.33E
200,1760-07-01,17.21,5.227,Århus,Denmark,57.05N,10.33E
201,1760-08-01,16.194000000000006,9.474,Århus,Denmark,57.05N,10.33E
202,1760-09-01,14.51,6.789,Århus,Denmark,57.05N,10.33E
203,1760-10-01,7.273,5.739,Århus,Denmark,57.05N,10.33E
204,1760-11-01,3.447,3.927,Århus,Denmark,57.05N,10.33E
205,1760-12-01,1.733,2.991,Århus,Denmark,57.05N,10.33E
206,1761-01-01,0.6699999999999999,8.344,Århus,Denmark,57.05N,10.33E
207,1761-02-01,1.186,4.471,Århus,Denmark,57.05N,10.33E
208,1761-03-01,4.852,1.618,Århus,Denmark,57.05N,10.33E
209,1761-04-01,6.529999999999999,4.78,Århus,Denmark,57.05N,10.33E
210,1761-05-01,12.109000000000002,5.75,Århus,Denmark,57.05N,10.33E
211,1761-06-01,17.162,2.962,Århus,Denmark,57.05N,10.33E
212,1761-07-01,16.500999999999998,6.657,Århus,Denmark,57.05N,10.33E
213,1761-08-01,17.794,4.187,Århus,Denmark,57.05N,10.33E
214,1761-09-01,14.39,4.592,Århus,Denmark,57.05N,10.33E
215,1761-10-01,5.43,6.193,Århus,Denmark,57.05N,10.33E
216,1761-11-01,4.229,2.406,Århus,Denmark,57.05N,10.33E
217,1761-12-01,-1.1630000000000005,2.66,Århus,Denmark,57.05N,10.33E
218,1762-01-01,1.639,3.181,Århus,Denmark,57.05N,10.33E
219,1762-02-01,-0.308,9.353,Århus,Denmark,57.05N,10.33E
220,1762-03-01,-0.8959999999999999,5.649,Århus,Denmark,57.05N,10.33E
221,1762-04-01,8.1,4.7,Århus,Denmark,57.05N,10.33E
222,1762-05-01,11.219,7.9220000000000015,Århus,Denmark,57.05N,10.33E
223,1762-06-01,15.966,8.177,Århus,Denmark,57.05N,10.33E
224,1762-07-01,16.334,3.654,Århus,Denmark,57.05N,10.33E
225,1762-08-01,13.890999999999998,2.867,Århus,Denmark,57.05N,10.33E
226,1762-09-01,12.166,10.03,Århus,Denmark,57.05N,10.33E
227,1762-10-01,4.046,4.9860000000000015,Århus,Denmark,57.05N,10.33E
228,1762-11-01,3.5980000000000003,2.567,Århus,Denmark,57.05N,10.33E
229,1762-12-01,0.467,6.983,Århus,Denmark,57.05N,10.33E
230,1763-01-01,-3.2439999999999998,6.5070000000000014,Århus,Denmark,57.05N,10.33E
231,1763-02-01,0.6629999999999999,5.289,Århus,Denmark,57.05N,10.33E
232,1763-03-01,0.5009999999999999,8.433,Århus,Denmark,57.05N,10.33E
233,1763-04-01,4.349,2.153,Århus,Denmark,57.05N,10.33E
234,1763-05-01,10.373,3.726,Århus,Denmark,57.05N,10.33E
235,1763-06-01,14.92,7.266,Århus,Denmark,57.05N,10.33E
236,1763-07-01,17.464000000000002,1.938,Århus,Denmark,57.05N,10.33E
237,1763-08-01,16.296,3.936,Århus,Denmark,57.05N,10.33E
238,1763-09-01,11.749,3.365,Århus,Denmark,57.05N,10.33E
239,1763-10-01,7.252000000000002,7.466,Århus,Denmark,57.05N,10.33E
240,1763-11-01,3.312,4.345,Århus,Denmark,57.05N,10.33E
241,1763-12-01,1.644,2.487,Århus,Denmark,57.05N,10.33E
242,1764-01-01,0.6649999999999998,6.601,Århus,Denmark,57.05N,10.33E
243,1764-02-01,2.878,3.738,Århus,Denmark,57.05N,10.33E
244,1764-03-01,2.1590000000000003,3.98,Århus,Denmark,57.05N,10.33E
245,1764-04-01,5.715,5.4129999999999985,Århus,Denmark,57.05N,10.33E
246,1764-05-01,11.800999999999998,8.793,Århus,Denmark,57.05N,10.33E
247,1764-06-01,12.989,3.806,Århus,Denmark,57.05N,10.33E
248,1764-07-01,19.162000000000006,6.488,Århus,Denmark,57.05N,10.33E
249,1764-08-01,15.502999999999998,1.6740000000000002,Århus,Denmark,57.05N,10.33E
250,1764-09-01,11.31,5.642,Århus,Denmark,57.05N,10.33E
251,1764-10-01,7.109999999999999,3.21,Århus,Denmark,57.05N,10.33E
252,1764-11-01,2.274,3.712,Århus,Denmark,57.05N,10.33E
253,1764-12-01,-0.8210000000000002,4.723,Århus,Denmark,57.05N,10.33E
254,1765-01-01,-0.408,11.378,Århus,Denmark,57.05N,10.33E
255,1765-02-01,-2.603,4.754,Århus,Denmark,57.05N,10.33E
256,1765-03-01,3.12,3.209,Århus,Denmark,57.05N,10.33E
257,1765-04-01,6.5070000000000014,1.78,Århus,Denmark,57.05N,10.33E
258,1765-05-01,9.659,2.222,Århus,Denmark,57.05N,10.33E
259,1765-06-01,14.274000000000001,3.527,Århus,Denmark,57.05N,10.33E
260,1765-07-01,15.238,4.165,Århus,Denmark,57.05N,10.33E
261,1765-08-01,15.977999999999998,3.478,Århus,Denmark,57.05N,10.33E
262,1765-09-01,11.537,1.84,Århus,Denmark,57.05N,10.33E
263,1765-10-01,8.121,0.99,Århus,Denmark,57.05N,10.33E
264,1765-11-01,3.927,4.388,Århus,Denmark,57.05N,10.33E
265,1765-12-01,-0.16000000000000014,2.65,Århus,Denmark,57.05N,10.33E
266,1766-01-01,-1.21,7.792000000000002,Århus,Denmark,57.05N,10.33E
267,1766-02-01,-1.5319999999999998,5.141,Århus,Denmark,57.05N,10.33E
268,1766-03-01,2.475,3.286,Århus,Denmark,57.05N,10.33E
269,1766-04-01,8.199,4.165,Århus,Denmark,57.05N,10.33E
270,1766-05-01,10.759,2.258,Århus,Denmark,57.05N,10.33E
271,1766-06-01,16.351,8.468,Århus,Denmark,57.05N,10.33E
272,1766-07-01,18.306,4.599,Århus,Denmark,57.05N,10.33E
273,1766-08-01,16.391,3.837,Århus,Denmark,57.05N,10.33E
274,1766-09-01,13.039,4.539,Århus,Denmark,57.05N,10.33E
275,1766-10-01,7.81,2.153,Århus,Denmark,57.05N,10.33E
276,1766-11-01,5.297999999999999,5.877000000000002,Århus,Denmark,57.05N,10.33E
277,1766-12-01,-0.6360000000000001,4.02,Århus,Denmark,57.05N,10.33E
278,1767-01-01,-6.297999999999999,7.282,Århus,Denmark,57.05N,10.33E
279,1767-02-01,0.07000000000000006,9.127,Århus,Denmark,57.05N,10.33E
280,1767-03-01,1.88,9.906,Århus,Denmark,57.05N,10.33E
281,1767-04-01,3.7439999999999998,7.7570000000000014,Århus,Denmark,57.05N,10.33E
282,1767-05-01,9.561,2.404,Århus,Denmark,57.05N,10.33E
283,1767-06-01,13.458,4.51,Århus,Denmark,57.05N,10.33E
284,1767-07-01,15.71,5.049,Århus,Denmark,57.05N,10.33E
285,1767-08-01,17.182000000000002,2.823,Århus,Denmark,57.05N,10.33E
286,1767-09-01,14.331,4.884,Århus,Denmark,57.05N,10.33E
287,1767-10-01,8.001,2.998,Århus,Denmark,57.05N,10.33E
288,1767-11-01,5.817,9.249,Århus,Denmark,57.05N,10.33E
289,1767-12-01,-0.09899999999999998,6.91,Århus,Denmark,57.05N,10.33E
290,1768-01-01,-3.122,15.03,Århus,Denmark,57.05N,10.33E
291,1768-02-01,-1.23,10.451,Århus,Denmark,57.05N,10.33E
292,1768-03-01,-0.3480000000000003,7.45,Århus,Denmark,57.05N,10.33E
293,1768-04-01,5.101,4.329,Århus,Denmark,57.05N,10.33E
294,1768-05-01,10.787,3.177,Århus,Denmark,57.05N,10.33E
295,1768-06-01,15.179,5.496,Århus,Denmark,57.05N,10.33E
296,1768-07-01,17.159000000000002,5.2970000000000015,Århus,Denmark,57.05N,10.33E
297,1768-08-01,16.384,1.756,Århus,Denmark,57.05N,10.33E
298,1768-09-01,11.475,5.404,Århus,Denmark,57.05N,10.33E
299,1768-10-01,6.6839999999999975,5.9,Århus,Denmark,57.05N,10.33E
300,1768-11-01,3.715,6.256,Århus,Denmark,57.05N,10.33E
301,1768-12-01,2.568,8.088,Århus,Denmark,57.05N,10.33E
302,1769-01-01,0.6559999999999999,7.175,Århus,Denmark,57.05N,10.33E
303,1769-02-01,-0.399,3.858,Århus,Denmark,57.05N,10.33E
304,1769-03-01,2.583,6.409,Århus,Denmark,57.05N,10.33E
305,1769-04-01,6.1770000000000005,6.7860000000000005,Århus,Denmark,57.05N,10.33E
306,1769-05-01,10.598,10.197,Århus,Denmark,57.05N,10.33E
307,1769-06-01,14.661,5.292999999999998,Århus,Denmark,57.05N,10.33E
308,1769-07-01,16.722,6.26,Århus,Denmark,57.05N,10.33E
309,1769-08-01,15.267,6.066,Århus,Denmark,57.05N,10.33E
310,1769-09-01,12.947,1.253,Århus,Denmark,57.05N,10.33E
311,1769-10-01,5.228999999999999,3.553,Århus,Denmark,57.05N,10.33E
312,1769-11-01,2.61,1.639,Århus,Denmark,57.05N,10.33E
313,1769-12-01,1.3619999999999999,4.297,Århus,Denmark,57.05N,10.33E
314,1770-01-01,-1.069,8.054,Århus,Denmark,57.05N,10.33E
315,1770-02-01,1.045,4.691,Århus,Denmark,57.05N,10.33E
316,1770-03-01,-3.1430000000000002,5.763,Århus,Denmark,57.05N,10.33E
317,1770-04-01,4.217,13.619000000000002,Århus,Denmark,57.05N,10.33E
318,1770-05-01,11.125,1.804,Århus,Denmark,57.05N,10.33E
319,1770-06-01,14.675,5.0539999999999985,Århus,Denmark,57.05N,10.33E
320,1770-07-01,17.425,9.008,Århus,Denmark,57.05N,10.33E
321,1770-08-01,17.238999999999994,5.246,Århus,Denmark,57.05N,10.33E
322,1770-09-01,14.573,3.997,Århus,Denmark,57.05N,10.33E
323,1770-10-01,9.06,5.9929999999999986,Århus,Denmark,57.05N,10.33E
324,1770-11-01,1.9340000000000002,7.614,Århus,Denmark,57.05N,10.33E
325,1770-12-01,0.642,11.147,Århus,Denmark,57.05N,10.33E
326,1771-01-01,-3.483,9.274,Århus,Denmark,57.05N,10.33E
327,1771-02-01,-2.997,4.922,Århus,Denmark,57.05N,10.33E
328,1771-03-01,-2.8720000000000003,9.106,Århus,Denmark,57.05N,10.33E
329,1771-04-01,2.484,8.211,Århus,Denmark,57.05N,10.33E
330,1771-05-01,12.203,13.362,Århus,Denmark,57.05N,10.33E
331,1771-06-01,16.824,3.62,Århus,Denmark,57.05N,10.33E
332,1771-07-01,16.344,1.602,Århus,Denmark,57.05N,10.33E
333,1771-08-01,14.488,3.165,Århus,Denmark,57.05N,10.33E
334,1771-09-01,12.113,1.92,Århus,Denmark,57.05N,10.33E
335,1771-10-01,8.177999999999999,1.482,Århus,Denmark,57.05N,10.33E
336,1771-11-01,2.859,5.183,Århus,Denmark,57.05N,10.33E
337,1771-12-01,2.6639999999999997,4.851,Århus,Denmark,57.05N,10.33E
338,1772-01-01,-1.882,9.673,Århus,Denmark,57.05N,10.33E
339,1772-02-01,-2.959,11.414,Århus,Denmark,57.05N,10.33E
340,1772-03-01,-0.867,4.887,Århus,Denmark,57.05N,10.33E
341,1772-04-01,4.186999999999999,5.3370000000000015,Århus,Denmark,57.05N,10.33E
342,1772-05-01,8.914,1.879,Århus,Denmark,57.05N,10.33E
343,1772-06-01,15.192,6.075,Århus,Denmark,57.05N,10.33E
344,1772-07-01,16.668000000000006,3.95,Århus,Denmark,57.05N,10.33E
345,1772-08-01,16.076,5.365,Århus,Denmark,57.05N,10.33E
346,1772-09-01,12.777,3.832,Århus,Denmark,57.05N,10.33E
347,1772-10-01,10.108,2.697,Århus,Denmark,57.05N,10.33E
348,1772-11-01,6.229,6.4670000000000005,Århus,Denmark,57.05N,10.33E
349,1772-12-01,2.4219999999999997,4.475,Århus,Denmark,57.05N,10.33E
350,1773-01-01,1.117,2.642,Århus,Denmark,57.05N,10.33E
351,1773-02-01,-0.6459999999999999,3.621,Århus,Denmark,57.05N,10.33E
352,1773-03-01,2.289,2.3680000000000003,Århus,Denmark,57.05N,10.33E
353,1773-04-01,6.8260000000000005,3.82,Århus,Denmark,57.05N,10.33E
354,1773-05-01,12.296,4.072,Århus,Denmark,57.05N,10.33E
355,1773-06-01,14.757,1.616,Århus,Denmark,57.05N,10.33E
356,1773-07-01,17.247,2.8160000000000003,Århus,Denmark,57.05N,10.33E
357,1773-08-01,17.4,2.292,Århus,Denmark,57.05N,10.33E
358,1773-09-01,13.501,2.286,Århus,Denmark,57.05N,10.33E
359,1773-10-01,9.693,1.736,Århus,Denmark,57.05N,10.33E
360,1773-11-01,4.4719999999999995,7.856,Århus,Denmark,57.05N,10.33E
361,1773-12-01,1.644,6.646,Århus,Denmark,57.05N,10.33E
362,1774-01-01,-4.601,9.985,Århus,Denmark,57.05N,10.33E
363,1774-02-01,-0.08299999999999996,8.664,Århus,Denmark,57.05N,10.33E
364,1774-03-01,2.11,2.97,Århus,Denmark,57.05N,10.33E
365,1774-04-01,6.487,6.0520000000000005,Århus,Denmark,57.05N,10.33E
366,1774-05-01,11.594000000000001,2.642,Århus,Denmark,57.05N,10.33E
367,1774-06-01,16.123,8.789,Århus,Denmark,57.05N,10.33E
368,1774-07-01,17.003,8.338,Århus,Denmark,57.05N,10.33E
369,1774-08-01,16.012999999999998,3.615,Århus,Denmark,57.05N,10.33E
370,1774-09-01,11.974,3.995,Århus,Denmark,57.05N,10.33E
371,1774-10-01,8.16,5.247000000000001,Århus,Denmark,57.05N,10.33E
372,1774-11-01,-1.2910000000000004,8.585,Århus,Denmark,57.05N,10.33E
373,1774-12-01,-1.1869999999999998,6.1629999999999985,Århus,Denmark,57.05N,10.33E
374,1775-01-01,-0.983,5.723,Århus,Denmark,57.05N,10.33E
375,1775-02-01,1.9410000000000005,5.509,Århus,Denmark,57.05N,10.33E
376,1775-03-01,2.908,2.208,Århus,Denmark,57.05N,10.33E
377,1775-04-01,5.966,1.49,Århus,Denmark,57.05N,10.33E
378,1775-05-01,11.273,3.906,Århus,Denmark,57.05N,10.33E
379,1775-06-01,17.367,6.17,Århus,Denmark,57.05N,10.33E
